List Call,CAS,List Name,TSCA Chemical Name,Caveat - Chemical Use,Caveat - TSCA Inventory Status
Half Green [Circle],181828-06-8,"2-Butenedioic acid (2Z)-, ammonium salt (1:?), homopolymer, hydrolyzed, sodium salts","2-Butenedioic acid (2Z)-, ammonium salt (1:?), homopolymer, hydrolyzed, sodium salts",,
Green [Circle],164462-16-2,"Alanine, N,N-bis(carboxymethyl)-, sodium salt (1:3)","Alanine, N,N-bis(carboxymethyl)-, sodium salt (1:3)",,
Yellow [Triangle],144538-83-0,"Aspartic acid, N-(1,2-dicarboxyethyl)-, tetrasodium salt","Aspartic acid, N-(1,2-dicarboxyethyl)-, sodium salt (1:4)",,
Green [Circle],1456772-91-0,"Butanedioic acid, 2-methylene-, polymer with 2-propenoic acid and sodium 2-methyl-2-[(1-oxo-2-propen-1-yl)amino]-1-propanesulfonate","Butanedioic acid, 2-methylene-, polymer with 2-propenoic acid and sodium 2-methyl-2-[(1-oxo-2-propen-1-yl)amino]-1-propanesulfonate (1:1), sodium salt",,
Green [Circle],9004-32-4,"Cellulose, carboxymethyl ether, sodium salt","Cellulose, carboxymethyl ether, sodium salt",,
Green [Circle],77-92-9,"Citric acid, anhydrous","1,2,3-Propanetricarboxylic acid, 2-hydroxy-",,
Green [Circle],526-95-4,D-Gluconic acid,D-Gluconic acid,,
Green [Circle],17140-60-2,"D-glycero-D-gulo-Heptonic acid, calcium salt (2:1)","D-glycero-D-gulo-Heptonic acid, calcium salt (2:1)",,
Green [Circle],13007-85-7,"D-glycero-D-gulo-Heptonic acid, monosodium salt","D-glycero-D-gulo-Heptonic acid, sodium salt (1:1)",,
Green [Circle],3609-96-9,Dipotassium hydrogen citrate,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, potassium salt (1:2)",,
Green [Circle],79-33-4,L-Lactic acid,"Propanoic acid, 2-hydroxy-, (2S)-",,
Green [Circle],31138-65-5,Monosodium D-glucoheptonate,"D-gluco-heptonic acid, sodium salt (1:1), (2.xi.)-",,
Half Green [Circle],20846-91-7,"N,N'-Ethylenediamine disuccinic acid","L-Aspartic acid, N,N'-1,2-ethanediylbis-",,
Green [Circle],866-84-2,"Potassium citrate, anhydrous","1,2,3-Propanetricarboxylic acid, 2-hydroxy-, potassium salt (1:3)",,
Green [Circle],6100-05-6,"Potassium citrate, monohydrate","1,2,3-Propanetricarboxylic acid, 2-hydroxy-, potassium salt, hydrate (1:3:1)",,*Hydrates are considered mixtures. Only the non-hydrate component is listed on the TSCA Inventory.
Green [Circle],994-36-5,Sodium citrate,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, sodium salt (1:?)",,
Green [Circle],68-04-2,"Sodium citrate, anhydrous","1,2,3-Propanetricarboxylic acid, 2-hydroxy-, sodium salt (1:3)",,
Green [Circle],6132-04-3,"Sodium citrate, dihydrate","1,2,3-Propanetricarboxylic acid, 2-hydroxy-, sodium salt, hydrate (1:3:2)",,*Hydrates are considered mixtures. Only the non-hydrate component is listed on the TSCA Inventory.
Half Green [Circle],178949-82-1,Sodium ethylene diamine disuccinate,"L-Aspartic acid, N,N'-1,2-ethanediylbis-, sodium salt (1:3)",,
Green [Circle],1362053-75-5,Sodium glucarate,"D-Glucose, reaction products with nitric acid and sodium nitrite (1:1), sodium salts",,
Green [Circle],527-07-1,Sodium gluconate,"D-Gluconic acid, sodium salt (1:1)",,
Green [Circle],9057-06-1,"Starch, carboxymethyl ether","Starch, carboxymethyl ether",,
Green [Circle],51981-21-6,"Tetrasodium N,N-bis(carboxylatomethyl)-L-glutamate","L-Glutamic acid, N,N-bis(carboxymethyl)-, sodium salt (1:4)",,
