List Call,CAS,List Name,TSCA Chemical Name,Caveat - Chemical Use,Caveat - TSCA Inventory Status
Yellow [Triangle],63589-10-6,"2-Anthracenesulfonic acid, 1-amino-9,10-dihydro-4-[(4-methoxyphenyl)amino]-9,10-dioxo-, sodium salt (1:1)","2-Anthracenesulfonic acid, 1-amino-9,10-dihydro-4-[(4-methoxyphenyl)amino]-9,10-dioxo-, sodium salt (1:1)",,
Half Green [Circle],70210-05-8,C. I. Acid Violet 54,"2,7-Naphthalenedisulfonic acid, 3-[[2,4-bis(2- methylphenoxy)phenyl]azo] -4-hydroxy-5-[[(4- methylphenyl)sulfonyl]amino]-, disodium salt",,
Half Green [Circle],11006-34-1,C.I. 75810,"Cuprate(3-), [(7S,8S)-3-carboxy-5-(carboxymethyl)-13-ethenyl-18-ethyl-7,8-dihydro-2,8,12,17-tetramethyl-21H,23H-porphine-7-propanoato(5-)-.kappa.N21,.kappa.N22,.kappa.N23,.kappa.N24]-, sodium (1:3), (SP-4-2)-",,
Yellow [Triangle],6408-80-6,C.I. Acid Blue 145,"2-Anthracenesulfonic acid, 1-amino-9,10-dihydro-4-[(4-methyl-2-sulfophenyl)amino]-9,10-dioxo-, sodium salt (1:2)",,
Yellow [Triangle],6408-78-2,C.I. Acid Blue 25,"2-Anthracenesulfonic acid, 1-amino-9,10-dihydro-9,10-dioxo-4-(phenylamino)-, sodium salt (1:1)",,
Yellow [Triangle],6424-85-7,C.I. Acid Blue 40,"2-Anthracenesulfonic acid, 4-[[4-(acetylamino)phenyl]amino]-1-amino-9,10- dihydro-9,10-dioxo-, monosodium salt",,
Yellow [Triangle],4474-24-2,C.I. Acid Blue 80,"Benzenesulfonic acid, 3,3'-[(9,10-dihydro-9,10-dioxo-1,4-anthracenediyl)diimino]bis[2,4,6-trimethyl-, sodium salt (1:2)",,
Yellow [Triangle],28983-56-4,C.I. Acid Blue 93,"Benzenesulfonic acid, [[4-[bis[4-[(sulfophenyl)amino]phenyl]methylene]-2,5-cyclohexadien-1-ylidene]amino]-, sodium salt (1:2)",,
Yellow [Triangle],5850-16-8,"C.I. Acid Brown 14, disodium salt","1-Naphthalenesulfonic acid, 4,4'-[(2,4-dihydroxy-1,3-phenylene)bis(2,1-diazenediyl)]bis-, sodium salt (1:2)",,
Half Green [Circle],19381-50-1,C.I. Acid Green 1,"Ferrate(3-), tris[5,6-dihydro-5-(hydroxyimino-.kappa.N)-6-(oxo-.kappa.O)-2-naphthalenesulfonato(2-)]-, sodium (1:3)",,
Yellow [Triangle],1320-07-6,"C.I. Acid Orange 24, monosodium salt","Benzenesulfonic acid, 4-[2-[3-[2-(dimethylphenyl)diazenyl]-2,4-dihydroxyphenyl]diazenyl]-, sodium salt (1:1)",,
Yellow [Triangle],3567-69-9,C.I. Acid Red 14,"1-Naphthalenesulfonic acid, 4-hydroxy-3-[2-(4-sulfo-1-naphthalenyl)diazenyl]-, sodium salt (1:2)",,
Half Green [Circle],12220-28-9,C.I. Acid Red 289,"Xanthylium, 3-[(2,6-dimethylphenyl)amino]-6-[(2,6-dimethylsulfophenyl)amino]-9-(2-sulfophenyl)-, inner salt, sodium salt (1:1)",,
Green [Circle],3520-42-1,C.I. Acid Red 52,"Xanthylium, 3,6-bis(diethylamino)-9-(2,4-disulfophenyl)-, inner salt, sodium salt (1:1)",,
Half Green [Circle],6408-63-5,C.I. Acid Violet 34,"Benzenesulfonic acid, 2,2'-[(9,10-dihydro-9,10-dioxo-1,5-anthracenediyl)diimino]bis[5-methyl-, sodium salt (1:2)",,
