List Call,CAS,List Name,TSCA Chemical Name,Caveat - Chemical Use,Caveat - TSCA Inventory Status
Green [Circle],3004-93-1,2-Methyloctanoic acid,"Octanoic acid, 2-methyl-",,
Green [Circle],68154-97-2,"Alcohols, C10-12, ethoxylated propoxylated","Alcohols, C10-12, ethoxylated propoxylated",,
Green [Circle],1302-78-9,Bentonite,Bentonite,,
Green [Circle],122-97-4,Benzenepropanol,Benzenepropanol,,
Half Green [Circle],67762-90-7,Dimethyl silicone polymer with silica,"Siloxanes and Silicones, di-Me, reaction products with silica",,
Green [Circle],9003-11-6,Poloxalene,"Oxirane, 2-methyl-, polymer with oxirane",,
Half Green [Circle],70131-67-8,"Polydimethylsiloxane, hydroxy-terminated","Siloxanes and Silicones, di-Me, hydroxy-terminated",,
Yellow [Triangle],63148-62-9,Polydimethylsiloxanes,"Siloxanes and Silicones, di-Me",*Yellow based on some concern for aquatic toxicity. Allowed to provide functionality.,
Green [Circle],9004-99-3,Polyethylene glycol stearate,"Poly(oxy-1,2-ethanediyl), alpha-(1-oxooctadecyl)-omega-hydroxy-",,
Green [Circle],9082-00-2,"Propylene oxide ethylene oxide polymer, ether with glycerol (3:1)","Oxirane, 2-methyl-, polymer with oxirane, ether with 1,2,3-propanetriol (3:1)",,
Yellow [Triangle],68937-55-3,"Siloxanes and Silicones, di-Me, 3-hydroxypropyl Me, ethoxylated propoxylated","Siloxanes and Silicones, di-Me, 3-hydroxypropyl Me, ethoxylated propoxylated",*Yellow based on some concern for aquatic toxicity. Allowed to provide functionality.,
Half Green [Circle],68440-70-0,"Siloxanes and Silicones, di-methyl, hydroxy-terminated, reaction products with chlorotrimethylsilane, hydrochloric acid, iso-Pr alc. and sodium silicate","Siloxanes and Silicones, di-Me, hydroxy-terminated, reaction products with chlorotrimethylsilane, hydrochloric acid, iso-Pr alc. and sodium silicate",,
