List Call,CAS,List Name,TSCA Chemical Name,Caveat - Chemical Use,Caveat - TSCA Inventory Status
Green [Circle],57-55-6,"1,2-Propanediol","1,2-Propanediol",,
Green [Circle],504-63-2,"1,3-Propanediol","1,3-Propanediol",,
Yellow [Triangle],9000-90-2,alpha-Amylase,"Amylase, alpha-",,
Yellow [Triangle],9000-92-4,Amylase,Amylase,,
Yellow [Triangle],9000-85-5,Amylase bacterial,"Amylase, bacterial",,
Yellow [Triangle],9080-56-2,Bacillolysin Bacillus metalloprotease,Bacillolysin,,"*As of March 2016, this substance is not listed on the TSCA inventory."
Yellow [Triangle],1303-96-4,Borax,Borax (B4Na2O7.10H2O),*Only allowed as a protease stabilizer.,
Yellow [Triangle],1333-73-9,"Boric acid, sodium salt","Boric acid, sodium salt",*Only allowed as a protease stabilizer.,
Yellow [Triangle],11130-12-4,"Boric acid, sodium salt pentahydrate",,*Only allowed as a protease stabilizer.,*Hydrates are considered mixtures. Only the non-hydrate component is listed on the TSCA Inventory.
Yellow [Triangle],1330-43-4,Boron sodium oxide,Boron sodium oxide (B4Na2O7),*Only allowed as a protease stabilizer,
Yellow [Triangle],1303-86-2,Boron trioxide,Boron oxide (B2O3),*Only allowed as a protease stabilizer.,
Green [Circle],22691-02-7,Calcium chloride hydrate (unspecified),,,*Hydrates are considered mixtures. Only the non-hydrate component is listed on the TSCA Inventory.
Green [Circle],10043-52-4,"Calcium chloride, anhydrous",Calcium chloride (CaCl2),,
Green [Circle],10035-04-8,"Calcium chloride, dihydrate","Calcium chloride (CaCl2), dihydrate",,*Hydrates are considered mixtures. Only the non-hydrate component is listed on the TSCA Inventory.
Green [Circle],7774-34-7,"Calcium chloride, hexahydrate",,,*Hydrates are considered mixtures. Only the non-hydrate component is listed on the TSCA Inventory.
Green [Circle],544-17-2,Calcium formate,"Formic acid, calcium salt (2:1)",,
Yellow [Triangle],9001-05-2,Catalase,Catalase,,
Yellow [Triangle],9012-54-8,Cellulase,Cellulase,,
Yellow [Triangle],12280-03-4,Disodium octaborate tetrahydrate,,*Only allowed as a protease stabilizer.,*Hydrates are considered mixtures. Only the non-hydrate component is listed on the TSCA Inventory.
Green [Circle],59-51-8,DL-Methionine,Methionine,,
Yellow [Triangle],9014-08-8,"Hydratase, phosphoenolpyruvate","Hydratase, phosphoenolpyruvate",,
Yellow [Triangle],12045-87-3,Kernite,,*Only allowed as a protease stabilizer.,*Hydrates are considered mixtures. Only the non-hydrate component is listed on the TSCA Inventory.
Yellow [Triangle],9015-75-2,"Lyase, pectate","Lyase, pectate",,
Yellow [Triangle],37288-54-3,"Mannanase, endo-1,4-beta-","Mannanase, endo-1,4-beta-",,
Yellow [Triangle],10043-35-3,Orthoboric acid,Boric acid (H3BO3),*Only allowed as a protease stabilizer.,
Yellow [Triangle],9032-75-1,Polygalacturonase,Polygalacturonase,,
Yellow [Triangle],9001-92-7,Proteinase,Proteinase,,
Yellow [Triangle],9001-62-1,Rizolipase,"Lipase, triacylglycerol",,
Green [Circle],141-53-7,Sodium formate,"Formic acid, sodium salt (1:1)",,
Yellow [Triangle],12179-04-3,Sodium tetraborate pentahydrate,"Boron sodium oxide (B4Na2O7), hydrate (1:5)",*Only allowed as a protease stabilizer.,*Hydrates are considered mixtures. Only the non-hydrate component is listed on the TSCA Inventory.
Yellow [Triangle],9014-01-1,Subtilisins,Subtilisin,,
Yellow [Triangle],12045-88-4,Tincalconite,,*Only allowed as a protease stabilizer.,*Hydrates are considered mixtures. Only the non-hydrate component is listed on the TSCA Inventory.
