List Call,CAS,List Name,TSCA Chemical Name,Caveat - Chemical Use,Caveat - TSCA Inventory Status
Yellow [Triangle],6419-19-8,Aminotrimethylene phosphonic acid,"Phosphonic acid, P,P',P''-[nitrilotris(methylene)]tris-",*Only allowed as an oxidant stabilizer.,
Yellow [Triangle],6484-52-2,Ammonium nitrate,Nitric acid ammonium salt (1:1),*Only allowed as an oxidant stabilizer.,
Yellow [Triangle],22042-96-2,"Diethylenetriaminepenta(methylenephosphonic acid), sodium salt","Phosphonic acid, [[(phosphonomethyl)imino]bis[2,1-ethanediylnitrilobis(methylene)]]tetrakis-, sodium salt (1:?)",*Only allowed as an oxidant stabilizer.,
Yellow [Triangle],12027-70-2,Disodium tin hexahydroxide,"Stannate (Sn(OH)62-), sodium (1:2), (OC-6-11)-",*Only allowed as an oxidant stabilizer.,
Yellow [Triangle],2809-21-4,Etridronic acid,"Phosphonic acid, P,P'-(1-hydroxyethylidene)bis-",*Only allowed as an oxidant stabilizer.,
Yellow [Triangle],68155-78-2,Heptasodium diethylenetriaminepentamethylenephosphonate,"Phosphonic acid, P,P',P'',P'''-[[(phosphonomethyl)imino]bis[2,1-ethanediylnitrilobis(methylene)]]tetrakis-, sodium salt (1:7)",*Only allowed as an oxidant stabilizer.,
Green [Circle],7722-84-1,Hydrogen peroxide,Hydrogen peroxide (H2O2),,
Yellow [Triangle],13598-36-2,Phosphonic acid,Phosphonic acid,*Only allowed as an oxidant stabilizer.,
Yellow [Triangle],7664-38-2,Phosphoric acid,Phosphoric acid,*Only allowed as an oxidant stabilizer.,
Yellow [Triangle],10294-56-1,Phosphorous acid,Phosphorous acid,*Only allowed as an oxidant stabilizer.,
Yellow [Triangle],12142-33-5,Potassium stannate,"Stannate (SnO32-), potassium (1:2)",*Only allowed as an oxidant stabilizer.,
Yellow [Triangle],12027-61-1,Potassium stannate hexahydroxide,"Stannate (Sn(OH)62-), potassium (1:2), (OC-6-11)-",*Only allowed as an oxidant stabilizer.,
Yellow [Triangle],12125-03-0,Potassium stannate trihydrate,,*Only allowed as an oxidant stabilizer.,*Hydrates are considered mixtures. Only the non-hydrate component is listed on the TSCA Inventory.
Yellow [Triangle],7758-16-9,Sodium acid pyrophosphate,"Diphosphoric acid, sodium salt (1:2)",*Only allowed as an oxidant stabilizer.,
Yellow [Triangle],7631-99-4,Sodium nitrate,Nitric acid sodium salt (1:1),*Only allowed as an oxidant and preservative stabilizer.,
Green [Circle],15630-89-4,Sodium percarbonate,"Carbonic acid sodium salt (1:2), compd. with hydrogen peroxide (H2O2) (2:3)",,
Green [Circle],7775-27-1,Sodium peroxydisulfate,"Peroxydisulfuric acid ([(HO)S(O)2]2O2), sodium salt (1:2)",,
Yellow [Triangle],7722-88-5,Sodium pyrophosphate,"Diphosphoric acid, sodium salt (1:4)",*Only allowed as an oxidant stabilizer.,
Yellow [Triangle],12058-66-1,Sodium stannate,"Stannate (SnO32-), sodium (1:2)",*Only allowed as an oxidant stabilizer.,
Yellow [Triangle],7758-29-4,Sodium tripolyphosphate,"Triphosphoric acid, sodium salt (1:5)",*Only allowed as an oxidant stabilizer.,
Yellow [Triangle],10543-57-4,Tetraacetyl ethylene diamine,"Acetamide, N,N'-1,2-ethanediylbis[N-acetyl-",,
Yellow [Triangle],7320-34-5,Tetrapotassium pyrophosphate,"Diphosphoric acid, potassium salt (1:4)",*Only allowed as an oxidant stabilizer.,
Yellow [Triangle],7601-54-9,Trisodium phosphate,"Phosphoric acid, sodium salt (1:3)",*Only allowed as an oxidant stabilizer.,
