List Call,CAS,List Name,TSCA Chemical Name,Caveat - Chemical Use,Caveat - TSCA Inventory Status
Green [Circle],25722-45-6,"2,5-Furandione, polymer with 1-propene","2,5-Furandione, polymer with 1-propene",,
Green [Circle],37199-81-8,"2,5-Furandione, polymer with 2,4,4-trimethylpentene, sodium salt","2,5-Furandione, polymer with 2,4,4-trimethylpentene, sodium salt",,
Green [Circle],26022-09-3,"2,5-Furandione, polymer with ethenylbenzene, ammonium salt","2,5-Furandione, polymer with ethenylbenzene, ammonium salt",,
Green [Circle],52720-34-0,"2,5-Furandione, telomer with ethenylbenzene and (1-methylethyl)benzene, ammonium salt","2,5-Furandione, telomer with ethenylbenzene and (1-methylethyl)benzene, ammonium salt",,
Green [Circle],52500-92-2,"2,5-Furandione, telomer with ethenylbenzene and (1-methylethyl)benzene, sodium salt","2,5-Furandione, telomer with ethenylbenzene and (1-methylethyl)benzene, sodium salt",,
Green [Circle],29132-58-9,"2-Butenedioic acid (2Z)-, polymer with 2-propenoic acid","2-Butenedioic acid (2Z)-, polymer with 2-propenoic acid",,
Green [Circle],25322-99-0,"2-Propenoic acid, 2-methyl-, butyl ester, polymer with butyl 2-propenoate and methyl 2-methyl-2-propenoate","2-Propenoic acid, 2-methyl-, butyl ester, polymer with butyl 2-propenoate and methyl 2-methyl-2-propenoate",,
Green [Circle],25213-39-2,"2-Propenoic acid, 2-methyl-, butyl ester, polymer with ethenylbenzene","2-Propenoic acid, 2-methyl-, butyl ester, polymer with ethenylbenzene",,
Green [Circle],25608-33-7,"2-Propenoic acid, 2-methyl-, butyl ester, polymer with methyl 2-methyl-2-propenoate","2-Propenoic acid, 2-methyl-, butyl ester, polymer with methyl 2-methyl-2-propenoate",,
Green [Circle],65405-40-5,"2-Propenoic acid, 2-methyl-, dodecyl ester, polymer with hexadecyl 2-methyl-2-propenoate, octadecyl 2-methyl-2-propenoate and tetradecyl 2-methyl-2-propenoate","2-Propenoic acid, 2-methyl-, dodecyl ester, polymer with hexadecyl 2-methyl-2-propenoate, octadecyl 2-methyl-2-propenoate and tetradecyl 2-methyl-2-propenoate",,
Green [Circle],25767-39-9,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with ethenylbenzene and 2-propenoic acid","2-Propenoic acid, 2-methyl-, methyl ester, polymer with ethenylbenzene and 2-propenoic acid",,
Green [Circle],28205-96-1,"2-Propenoic acid, 2-methyl-, polymer with 2-propenoic acid, sodium salt","2-Propenoic acid, 2-methyl-, polymer with 2-propenoic acid, sodium salt",,
Green [Circle],25950-40-7,"2-Propenoic acid, 2-methyl-, polymer with butyl 2-methyl-2-propenoate, butyl 2-propenoate, ethenylbenzene and methyl 2-methyl-2-propenoate","2-Propenoic acid, 2-methyl-, polymer with butyl 2-methyl-2-propenoate, butyl 2-propenoate, ethenylbenzene and methyl 2-methyl-2-propenoate",,
Green [Circle],25035-82-9,"2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate","2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate",,
Green [Circle],25036-16-2,"2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate and ethenylbenzene","2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate and ethenylbenzene",,
Green [Circle],25035-69-2,"2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate and methyl 2-methyl-2-propenoate","2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate and methyl 2-methyl-2-propenoate",,
Green [Circle],94031-39-7,"2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate, (1-methylethenyl)benzene and methyl 2-methyl-2-propenoate","2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate, (1-methylethenyl)benzene and methyl 2-methyl-2-propenoate",,
Green [Circle],67892-91-5,"2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate, ethene, ethenylbenzene, ethyl 2-propenoate and methyl 2-methyl-2-propenoate","2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate, ethene, ethenylbenzene, ethyl 2-propenoate and methyl 2-methyl-2-propenoate",,
Green [Circle],25987-66-0,"2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate, ethenylbenzene and methyl 2-methyl-2-propenoate","2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate, ethenylbenzene and methyl 2-methyl-2-propenoate",,
Green [Circle],137899-00-4,"2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate, ethenylbenzene and methyl 2-methyl-2-propenoate, calcium salt","2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate, ethenylbenzene and methyl 2-methyl-2-propenoate, calcium salt",,
Green [Circle],63744-68-3,"2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate, ethenylbenzene, ethyl 2-propenoate and methyl 2-methyl-2-propenoate","2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate, ethenylbenzene, ethyl 2-propenoate and methyl 2-methyl-2-propenoate",,
Green [Circle],31392-42-4,"2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate, ethenylbenzene, methyl 2-methyl-2-propenoate and 2-propenenitrile","2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate, ethenylbenzene, methyl 2-methyl-2-propenoate and 2-propenenitrile",,
Green [Circle],9010-92-8,"2-Propenoic acid, 2-methyl-, polymer with ethenylbenzene","2-Propenoic acid, 2-methyl-, polymer with ethenylbenzene",,
Green [Circle],25035-81-8,"2-Propenoic acid, 2-methyl-, polymer with ethenylbenzene and methyl 2-methyl-2-propenoate","2-Propenoic acid, 2-methyl-, polymer with ethenylbenzene and methyl 2-methyl-2-propenoate",,
Green [Circle],65405-63-2,"2-Propenoic acid, 2-methyl-, polymer with ethenylbenzene, ethyl 2-propenoate, methyl 2-methyl-2-propenoate and 1,2-propanediol mono(2-methyl-2-propenoate)","2-Propenoic acid, 2-methyl-, polymer with ethenylbenzene, ethyl 2-propenoate, methyl 2-methyl-2-propenoate and 1,2-propanediol mono(2-methyl-2-propenoate)",,
Green [Circle],25212-88-8,"2-Propenoic acid, 2-methyl-, polymer with ethyl 2-propenoate","2-Propenoic acid, 2-methyl-, polymer with ethyl 2-propenoate",,
Green [Circle],25086-15-1,"2-Propenoic acid, 2-methyl-, polymer with methyl 2-methyl-2-propenoate","2-Propenoic acid, 2-methyl-, polymer with methyl 2-methyl-2-propenoate",,
Green [Circle],70879-60-6,"2-Propenoic acid, 2-methyl-, polymers with Et acrylate and polyethylene glycol methacrylate C16-18-alkyl ethers methacrylic acid polymer","2-Propenoic acid, 2-methyl-, polymers with Et acrylate and polyethylene glycol methacrylate C16-18-alkyl ethers",,
Green [Circle],9003-01-4,"2-Propenoic acid, homopolymer","2-Propenoic acid, homopolymer",,
Green [Circle],9003-04-7,"2-Propenoic acid, homopolymer, sodium salt","2-Propenoic acid, homopolymer, sodium salt",,
Green [Circle],52255-49-9,"2-Propenoic acid, polymer with 2,5-furandione, sodium salt","2-Propenoic acid, polymer with 2,5-furandione, sodium salt",,
Green [Circle],31212-13-2,"2-Propenoic acid, potassium salt (1:1), polymer with 2-propenamide","2-Propenoic acid, potassium salt (1:1), polymer with 2-propenamide",,
Half Green [Circle],37350-42-8,"2-Propenoic acid, sodium salt (1:1), polymer with sodium 2-methyl-2-((1-oxo-2-propen-1-yl)amino)-1-propanesulfonate (1:1)","2-Propenoic acid, sodium salt (1:1), polymer with sodium 2-methyl-2-[(1-oxo-2-propen-1-yl)amino]-1-propanesulfonate (1:1)",,
Green [Circle],90066-14-1,"2-Propenoic acid, telomer with ethyl 2-propenoate and sodium sulfite (1:1), sodium salt","2-Propenoic acid, telomer with ethyl 2-propenoate and sodium sulfite (1:1), sodium salt",,
Green [Circle],68479-09-4,"2-Propenoic acid, telomer with sodium hydrogen sulfite, sodium salt","2-Propenoic acid, telomer with sodium sulfite (1:1), sodium salt",,
Green [Circle],66019-18-9,"2-Propenoic acid, telomer with sodium sulfite (1:1)","2-Propenoic acid, telomer with sodium sulfite (1:1)",,
Green [Circle],91144-30-8,"2-Propenoic acid, telomer with sodium sulfite (1:1), potassium salt","2-Propenoic acid, telomer with sodium sulfite (1:1), potassium salt",,
Green [Circle],94525-01-6,"Aspartic acid, homopolymer, sodium salt","Aspartic acid, homopolymer, sodium salt",,
Green [Circle],71832-81-0,"Benzenesulfonic acid, hydroxy-, sodium salt (1:1), polymer with formaldehyde and 4,4'-sulfonylbis[phenol]","Benzenesulfonic acid, hydroxy-, sodium salt (1:1), polymer with formaldehyde and 4,4'-sulfonylbis[phenol]",,
Green [Circle],26099-89-8,"Butanedioic acid, 2-methylene-, homopolymer, sodium salt","Butanedioic acid, 2-methylene-, homopolymer, sodium salt",,
Green [Circle],1052620-22-0,"Butanedioic acid, 2-methylene-, polymer with 2-methyl-2-[(1-oxo-2-propen-1-yl)amino]-1-propanesulfonic acid, sodium salt","Butanedioic acid, 2-methylene-, polymer with 2-methyl-2-[(1-oxo-2-propen-1-yl)amino]-1-propanesulfonic acid, sodium salt",,
Green [Circle],26099-88-7,"Butanedioic acid, 2-methylene-, polymer with 2-propenoic acid, sodium salt","Butanedioic acid, 2-methylene-, polymer with 2-propenoic acid, sodium salt",,
Green [Circle],156042-41-0,"Butanoic acid, 3-oxo-, 2-[(2-methyl-1-oxo-2-propen-1-yl)oxy]ethyl ester, polymer with butyl 2-propenoate, 2-ethylhexyl 2-propenoate, methyl 2-methyl-2-propenoate, 2-methyl-2-propenoic acid and 2-propen-1-yl 2-methyl-2-propenoate","Butanoic acid, 3-oxo-, 2-[(2-methyl-1-oxo-2-propen-1-yl)oxy]ethyl ester, polymer with butyl 2-propenoate, 2-ethylhexyl 2-propenoate, methyl 2-methyl-2-propenoate, 2-methyl-2-propenoic acid and 2-propen-1-yl 2-methyl-2-propenoate",,
Green [Circle],8061-52-7,Calcium lignosulfonate,"Lignosulfonic acid, calcium salt",,
Green [Circle],68441-17-8,"Ethene, homopolymer, oxidized","Ethene, homopolymer, oxidized",,
Green [Circle],9010-77-9,Ethylene/acrylic acid copolymer,"2-Propenoic acid, polymer with ethene",,
Green [Circle],31694-55-0,Glycerol poly(oxyethylene) ether,"Poly(oxy-1,2-ethanediyl), alpha, alpha', alpha''-1,2,3-propanetriyltris[omega-hydroxy-",,
