List Call,CAS,List Name,TSCA Chemical Name,Caveat - Chemical Use,Caveat - TSCA Inventory Status
Yellow [Triangle],2634-33-5,"1,2-Benzisothiazol-3(2H)-one","1,2-Benzisothiazol-3(2H)-one",,
Yellow [Triangle],26530-20-1,"3(2H)-Isothiazolone, 2-octyl-","3(2H)-Isothiazolone, 2-octyl-",,
Yellow [Triangle],99-93-4,4-Hydroxyacetophenone,"Ethanone, 1-(4-hydroxyphenyl)-",,
Green [Circle],59-02-9,alpha-Tocopherol,"2H-1-Benzopyran-6-ol, 3,4-dihydro-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-, (2R)-",,
Half Green [Circle],137-66-6,Ascorbyl palmitate,"L-Ascorbic acid, 6-hexadecanoate",,
Yellow [Triangle],60-12-8,Benzeneethanol,Benzeneethanol,,
Green [Circle],65-85-0,Benzoic acid,Benzoic acid,,
Green [Circle],582-25-2,"Benzoic acid, potassium salt","Benzoic acid, potassium salt (1:1)",,
Green [Circle],532-32-1,"Benzoic acid, sodium Salt","Benzoic acid, sodium salt (1:1)",,
Yellow [Triangle],100-51-6,Benzyl alcohol,Benzenemethanol,,
Green [Circle],16698-35-4,beta-Tocopherol,"2H-1-Benzopyran-6-ol, 3,4-dihydro-2,5,8-trimethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-, (2R)-",,
Green [Circle],7492-55-9,Calcium sorbate,"2,4-Hexadienoic acid, calcium salt (2:1), (2E,4E)-",,
Green [Circle],1117-86-8,Caprylyl glycol,"1,2-Octanediol",,
Green [Circle],9012-76-4,Chitosan,Chitosan,,
Yellow [Triangle],520-45-6,Dehydroacetic acid,"2H-Pyran-2,4(3H)-dione, 3-acetyl-6-methyl-",,
Green [Circle],119-13-1,delta-Tocopherol,"2H-1-Benzopyran-6-ol, 3,4-dihydro-2,8-dimethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-, (2R)-",,
Green [Circle],54-28-4,D-gamma-Tocopherol,"2H-1-Benzopyran-6-ol, 3,4-dihydro-2,7,8-trimethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-, (2R)-",,
Yellow [Triangle],7681-57-4,"Disulfurous acid, disodium salt","Disulfurous acid, sodium salt (1:2)",,
Green [Circle],10191-41-0,DL-alpha-Tocopherol,"2H-1-Benzopyran-6-ol, 3,4-dihydro-2,5,7,8-tetramethyl-2-(4,8,12-trimethyltridecyl)-",,
Green [Circle],50-21-5,DL-Lactic acid,"Propanoic acid, 2-hydroxy-",,
Green [Circle],60372-77-2,Ethyl lauroyl arginate hydrochloride,,,"*As of September 2017, this substance is not listed on the TSCA inventory."
Green [Circle],64-18-6,Formic acid,Formic acid,,
Green [Circle],90-80-2,Gluconolactone,"D-Gluconic acid, .delta.-lactone",,
Half Green [Circle],91744-68-2,"Glycerides, palm-oil mono-, di- and tri-, hydrogenated, citrates",,,"*As of September 2019, this substance is not listed on the TSCA inventory."
Green [Circle],79-33-4,L-Lactic acid,"Propanoic acid, 2-hydroxy-, (2S)-",,
Yellow [Triangle],13446-18-9,"Magnesium (II) nitrate, hexahydrate","Nitric acid, magnesium salt (2:1)",*Only allowed as a preservative stabilizer,*Hydrates are considered mixtures. Only the non-hydrate component is listed on the TSCA Inventory.
Yellow [Triangle],10377-60-3,Magnesium nitrate,"Nitric acid, magnesium salt (2:1)",*Only allowed as a preservative stabilizer,
Yellow [Triangle],26172-55-4,Methyl chloro isothiazolinone,"3(2H)-Isothiazolone, 5-chloro-2-methyl-",,
Yellow [Triangle],2682-20-4,Methyl isothiazolinone,"3(2H)-Isothiazolone, 2-methyl-",,
Half Green [Circle],91052-16-3,Palm oil glycerides citrate,"Glycerides, C16-18 and C18 unsatd. Mono- and di-, citrates",,"*As of September 2019, this substance is not listed on the TSCA inventory."
Green [Circle],6683-19-8,"Pentaerythritol, tetrakis(3,5-di-tert-butyl-4-hydroxyhydrocinnamate)","Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, 1,1'-[2,2-bis[[3-[3,5-bis(1,1-dimethylethyl)-4-hydroxyphenyl]-1-oxopropoxy]methyl]-1,3-propanediyl] ester",,
Yellow [Triangle],122-99-6,Phenoxyethanol,"Ethanol, 2-phenoxy-","*Yellow, due in part to its status as a Hazardous Air Pollutant HAP under the Clean Air Act.",
Green [Circle],24634-61-5,"Potassium (E,E)-sorbate","2,4-Hexadienoic acid, potassium salt (1:1), (2E,4E)-",,
Green [Circle],590-00-1,Potassium sorbate,"2,4-Hexadienoic acid, potassium salt (1:1)",,
Green [Circle],994-36-5,Sodium citrate,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, sodium salt (1:?)",,
Green [Circle],68-04-2,"Sodium citrate, anhydrous","1,2,3-Propanetricarboxylic acid, 2-hydroxy-, sodium salt (1:3)",,
Green [Circle],6132-04-3,"Sodium citrate, dihydrate","1,2,3-Propanetricarboxylic acid, 2-hydroxy-, sodium salt, hydrate (1:3:2)",,*Hydrates are considered mixtures. Only the non-hydrate component is listed on the TSCA Inventory.
Yellow [Triangle],7631-99-4,Sodium nitrate,Nitric acid sodium salt (1:1),*Only allowed as an oxidant and preservative stabilizer,
Green [Circle],137-40-6,Sodium propionate,"Propanoic acid, sodium salt (1:1)",,
Green [Circle],110-44-1,Sorbic acid,"2,4-Hexadienoic acid, (2E,4E)-",,
Green [Circle],7695-91-2,Tocopherol acetate,"2H-1-Benzopyran-6-ol, 3,4-dihydro-2,5,7,8-tetramethyl-2-(4,8,12-trimethyltridecyl)-, 6-acetate",,
Yellow [Triangle],112-38-9,Undecylenic acid,10-Undecenoic acid,,
Green [Circle],1406-18-4,Vitamin E,Vitamin E,,
Green [Circle],58-95-7,Vitamin E acetate,"2H-1-Benzopyran-6-ol, 3,4-dihydro-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-, 6-acetate, (2R)-",,
