List Call,CAS,List Name,TSCA Chemical Name,Caveat - Chemical Use,Caveat - TSCA Inventory Status
Green [Circle],64-19-7,Acetic acid,Acetic acid,,
Green [Circle],124-04-9,Adipic acid,Hexanedioic acid,,
Green [Circle],97-30-3,alpha-Methylglucoside,"alpha-D-Glucopyranoside, methyl",,
Green [Circle],50-81-7,Ascorbic acid,L-Ascorbic acid,,
Green [Circle],1302-78-9,Bentonite,Bentonite,,
Half Green [Circle],107-43-7,Betaine,"Methanaminium, 1-carboxy-N,N,N-trimethyl-, inner salt",,
Green [Circle],62-54-4,Calcium acetate,"Acetic acid, calcium salt (2:1)",,
Green [Circle],471-34-1,Calcium carbonate,Carbonic acid calcium salt (1:1),,
Green [Circle],15634-14-7,Calcium carbonate hexahydrate,,,*Hydrates are considered mixtures. Only the non-hydrate component is listed on the TSCA Inventory.
Green [Circle],22691-02-7,Calcium chloride hydrate (unspecified),,,*Hydrates are considered mixtures. Only the non-hydrate component is listed on the TSCA Inventory.
Green [Circle],10043-52-4,"Calcium chloride, anhydrous",Calcium chloride (CaCl2),,
Green [Circle],10035-04-8,"Calcium chloride, dihydrate","Calcium chloride (CaCl2), dihydrate",,*Hydrates are considered mixtures. Only the non-hydrate component is listed on the TSCA Inventory.
Green [Circle],7774-34-7,"Calcium chloride, hexahydrate",,,*Hydrates are considered mixtures. Only the non-hydrate component is listed on the TSCA Inventory.
Green [Circle],813-94-5,Calcium citrate,"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, calcium salt (2:3)",,
Green [Circle],5785-44-4,Calcium citrate tetrahydrate,,,*Hydrates are considered mixtures. Only the non-hydrate component is listed on the TSCA Inventory.
Green [Circle],544-17-2,Calcium formate,"Formic acid, calcium salt (2:1)",,
Green [Circle],1305-62-0,Calcium hydroxide,Calcium hydroxide (Ca(OH)2),,
Green [Circle],1332-69-0,Calcium hydroxide hydrate,,,*Hydrates are considered mixtures. Only the non-hydrate component is listed on the TSCA Inventory.
Green [Circle],76123-46-1,Calcium magnesium acetate,"Acetic acid, calcium magnesium salt",,"*Mixture. Only individual chemicals are listed on the TSCA Inventory. For this mixture, the relevant CAS numbers are 142-72-3 and 62-54-4."
Green [Circle],1344-95-2,Calcium silicate,"Silicic acid, calcium salt",,
Green [Circle],1344-96-3,Calcium silicate hydrate,,,*Hydrates are considered mixtures. Only the non-hydrate component is listed on the TSCA Inventory.
Green [Circle],120962-03-0,Canola oil,Canola oil,,
