List Call,CAS,List Name,TSCA Chemical Name,Caveat - Chemical Use,Caveat - TSCA Inventory Status
Green [Circle],223747-87-3,Argania spinosa kernel oil,,,"*As of September 2017, this substance is not listed on the TSCA inventory."
Green [Circle],356065-49-1,Astrocaryum murumuru seed butter,,,"*As of September 2017, this substance is not listed on the TSCA inventory."
Green [Circle],225234-12-8,Borago officinalis seed oil,,,"*As of September 2017, this substance is not listed on the TSCA inventory."
Green [Circle],194043-92-0,Butyrospermum parkii (shea) butter,,,"*As of September 2017, this substance is not listed on the TSCA inventory."
Green [Circle],91080-23-8,Butyrospermum parkii (shea) oil,,,"*As of September 2017, this substance is not listed on the TSCA inventory."
Green [Circle],299-28-5,Calcium gluconate,"D-Gluconic acid, calcium salt (2:1)",,
Half Green [Circle],137-08-6,Calcium pantothenate,".beta.-Alanine, N-[(2R)-2,4-dihydroxy-3,3-dimethyl-1-oxobutyl]-, calcium salt (2:1)",,"*As of September 2016, this substance is not listed on the TSCA inventory."
Green [Circle],94333-92-3,Camellia Kissi Seed Oil,,,
Green [Circle],129893-27-2,Carya illinoensis (pecan) seed oil,,,"*As of September 2017, this substance is not listed on the TSCA inventory."
Green [Circle],629-70-9,Cetyl acetate,"1-Hexadecanol, 1-acetate",,
Green [Circle],8002-31-1,Cocoa butter,Cocoa butter,,
Green [Circle],185630-72-2,Corylus avellana (hazel) seed oil,,,"*As of September 2017, this substance is not listed on the TSCA inventory."
Green [Circle],8001-29-4,Cottonseed oil,Cottonseed oil,,
Green [Circle],8016-49-7,Cuburbita pepo seed oil,,,"*As of March 2016, this substance is not listed on the TSCA inventory."
Green [Circle],109-43-3,Dibutyl sebacate,"Decanedioic acid, 1,10-dibutyl ester",,
Green [Circle],27138-31-4,Dipropylene glycol dibenzoate,"Propanol, oxybis-, dibenzoate",,
Half Green [Circle],16485-10-2,DL-Panthenol,"Butanamide, 2,4-dihydroxy-N-(3-hydroxypropyl)-3,3-dimethyl-",,
Half Green [Circle],81-13-0,D-Panthenol,"Butanamide, 2,4-dihydroxy-N-(3-hydroxypropyl)-3,3-dimethyl-, (2R)-",,
Green [Circle],8024-32-6,"Fats and Glyceridic oils, avocado","Fats and Glyceridic oils, avocado",,
Green [Circle],68553-81-1,"Fats and Glyceridic oils, rice bran","Fats and Glyceridic oils, rice bran",,
Green [Circle],8008-74-0,"Fats and Glyceridic oils, sesame","Fats and Glyceridic oils, sesame",,
Green [Circle],23351-51-1,Glucoheptanoic acid,"D-gluco-Heptonic acid, (2.xi.)-",,
Green [Circle],67701-28-4,"Glycerides, C8-18 and C18-unsatd.","Glycerides, C8-18 and C18-unsatd.",,
Green [Circle],85594-37-2,Grape seed oil,,,
Green [Circle],153065-40-8,Limnanthes alba (meadowfoam) seed oil,,,
Half Green [Circle],8001-26-1,Linseed oil,Linseed oil,,
Half Green [Circle],63-68-3,L-Methionine,L-Methionine,,
Green [Circle],129811-19-4,Macadamia integrifolia seed oil,,,"*As of September 2017, this substance is not listed on the TSCA inventory."
Green [Circle],111-82-0,Methyl laurate,"Dodecanoic acid, methyl ester",,
Green [Circle],90028-66-3,Oenothera biennis (evening primrose) oil,,,"*As of September 2017, this substance is not listed on the TSCA inventory."
Green [Circle],106457-91-4,"Oils, oat","Oils, oat",,
Green [Circle],68917-73-7,"Oils, wheat","Oils, wheat",,
Half Green [Circle],79-83-4,Panthothenic acid,".beta.-Alanine, N-[(2R)-2,4-dihydroxy-3,3-dimethyl-1-oxobutyl]-",,"*As of September 2016, this substance is not listed on the TSCA inventory."
Green [Circle],8002-03-7,Peanut oil,Peanut oil,,
Green [Circle],90082-81-8,Pistacia vera seed oil,,,"*As of September 2017, this substance is not listed on the TSCA inventory."
Half Green [Circle],25618-55-7,Polyglycerol,"1,2,3-Propanetriol, homopolymer",,
Green [Circle],299-27-4,Potassium gluconate,"D-Gluconic acid, potassium salt (1:1)",,
Green [Circle],72869-69-3,Prunus amerniaca (apricot) kernel oil,"Oils, apricot",,
Green [Circle],8007-69-0,Prunus amygdalus dulcis (sweet almond) oil,"Oils, almond",,
Green [Circle],68650-44-2,Prunus armeniaca (apricot) kernel oil,"Apricot, ext.",,
Green [Circle],8001-23-8,Safflower oil,Safflower oil,,
Green [Circle],111-01-3,Squalane,"Tetracosane, 2,6,10,15,19,23-hexamethyl-",,
Green [Circle],8001-21-6,Sunflower oil,Sunflower oil,,
Green [Circle],394236-97-6,Theobroma grandiflorum seed butter,,,"*As of September 2017, this substance is not listed on the TSCA inventory."
Half Green [Circle],56090-54-1,Triglycerol,Triglycerol,,
Half Green [Circle],61789-91-1,"Waxes and Waxy substances, jojoba","Waxes and Waxy substances, jojoba",,
