List Call,CAS,List Name,TSCA Chemical Name,Caveat - Chemical Use,Caveat - TSCA Inventory Status
Green [Circle],6290-03-5,"(R )-(-)-1,3-Butanediol",,,"*As of September 2018, this substance is not listed on the TSCA inventory."
Green [Circle],20324-32-7,1-(2-Methoxy-1-methylethoxy)-2-propanol,"2-Propanol, 1-(2-methoxy-1-methylethoxy)-",,
Green [Circle],110-98-5,"1,1'-Dimethyldiethylene glycol","2-Propanol, 1,1'-oxybis-",,
Green [Circle],584-03-2,"1,2-Butanediol","1,2-Butanediol",,
Green [Circle],6920-22-5,"1,2-Hexanediol","1,2-Hexanediol",,
Green [Circle],57-55-6,"1,2-Propanediol","1,2-Propanediol",,
Green [Circle],107-88-0,"1,3-Butanediol","1,3-Butanediol",,
Half Green [Circle],4437-85-8,"1,3-Dioxolan-2-one, 4-ethyl-","1,3-Dioxolan-2-one, 4-ethyl-",,
Green [Circle],504-63-2,"1,3-Propanediol","1,3-Propanediol",,
Green [Circle],112-53-8,1-Dodecanol,1-Dodecanol,,
Green [Circle],107-98-2,1-Methoxy-2-propanol,"2-Propanol, 1-methoxy-",,
Green [Circle],1569-01-3,1-Propoxy-2-propanol,"2-Propanol, 1-propoxy-",,
Half Green [Circle],112-42-5,1-Undecanol,1-Undecanol,,
Yellow [Triangle],144-19-4,"2,2,4-Trimethyl-1,3-pentanediol","1,3-Pentanediol, 2,2,4-trimethyl-",,
Green [Circle],100-79-8,"2,2-dimethyl-1,3-Dioxolane-4-methanol","1,3-Dioxolane-4-methanol, 2,2-dimethyl-",,
Green [Circle],107-41-5,"2-Methyl-2,4-pentanediol","2,4-Pentanediol, 2-methyl-",,
Green [Circle],4435-53-4,3-Methoxybutyl acetate,"1-Butanol, 3-methoxy-, 1-acetate",,
Green [Circle],56539-66-3,3-Methyl-3-methoxybutanol,"1-Butanol, 3-methoxy-3-methyl-",,
Half Green [Circle],931-40-8,"4-Hydroxymethyl-1,3-dioxolan-2-one","1,3-Dioxolan-2-one, 4-(hydroxymethyl)-",,
Yellow [Triangle],39202-17-0,"9-Dodecenoic acid, methyl ester","9-Dodecenoic acid, methyl ester","*Yellow due to hazard concerns, but allowed to provide functionality while meeting Safer Choice VOC criteria. See section 4.2.7.1 of the Safer Choice Standard.",
Green [Circle],67762-41-8,"Alcohols, C10-16","Alcohols, C10-16",,
Half Green [Circle],66455-17-2,"Alcohols, C9-11","Alcohols, C9-11",,
Green [Circle],5405-41-4,"Butanoic acid, 3-hydroxy-, ethyl ester","Butanoic acid, 3-hydroxy-, ethyl ester",,
Half Green [Circle],2052-15-5,Butyl levulinate,"Pentanoic acid, 4-oxo-, butyl ester",,
Green [Circle],92011-00-2,Butyl-3-hydroxy-2-methylbuyrate,"Butanoic acid, 3-hydroxy-2-methyl-, butyl ester",,"*As of March 2016, this substance is not listed on the TSCA inventory."
Green [Circle],53605-94-0,Butyl-3-hydroxybutanoate,"Butanoic acid, 3-hydroxy-, butyl ester",,
Green [Circle],1117-86-8,Caprylyl glycol,"1,2-Octanediol",,
Green [Circle],8001-79-4,Castor oil,Castor oil,,
Green [Circle],143-28-2,cis-Oleyl alcohol,"9-Octadecen-1-ol, (9Z)-",,
Green [Circle],61788-59-8,Coco fatty acids methyl esters,"Fatty acids, coco, Me esters",,
Green [Circle],68425-37-6,Coconut alcohol,"Alcohols, coco",,
Green [Circle],109-43-3,Dibutyl sebacate,"Decanedioic acid, 1,10-dibutyl ester",,
Yellow [Triangle],112-59-4,Diethylene glycol hexyl ether,"Ethanol, 2-[2-(hexyloxy)ethoxy]-","*Yellow due to hazard concerns, but allowed to provide functionality while meeting Safer Choice VOC criteria. See section 4.2.7.1 of the Safer Choice Standard.",
Yellow [Triangle],112-34-5,Diethylene glycol mono-N-butyl ether,"Ethanol, 2-(2-butoxyethoxy)-","*Yellow, due in part to its status as a Hazardous Air Pollutant HAP under the Clean Air Act. *Yellow due to hazard concerns, but allowed to provide functionality while meeting Safer Choice VOC criteria. See section 4.2.7.1 of the Safer Choice Standard.",
Green [Circle],104-68-7,Diethylene glycol monophenyl ether,"Ethanol, 2-(2-phenoxyethoxy)-",,
Half Green [Circle],141-04-8,Diisobutyl adipate,"Hexanedioic acid, 1,6-bis(2-methylpropyl) ester",,
Half Green [Circle],6938-94-9,Diisopropyl adipate,"Hexanedioic acid, 1,6-bis(1-methylethyl) ester",,
Green [Circle],627-93-0,Dimethyl adipate,"Hexanedioic acid, 1,6-dimethyl ester",,
Green [Circle],14035-95-1,Dimethyl ethylsuccinate,"Butanedioic acid, 2-ethyl-, 1,4-dimethyl ester",,"*As of March 2016, this substance is not listed on the TSCA inventory."
Green [Circle],1119-40-0,Dimethyl glutarate,"Pentanedioic acid, 1,5-dimethyl ester",,
Green [Circle],106-65-0,Dimethyl succinate,"Butanedioic acid, 1,4-dimethyl ester",,
Green [Circle],105-99-7,Di-n-butyl adipate,"Hexanedioic acid, 1,6-dibutyl ester",,
Green [Circle],25265-71-8,Dipropylene glycol,"Propanol, oxybis-",,
Green [Circle],34590-94-8,Dipropylene glycol methyl ether,"Propanol, 1(or 2)-(2-methoxymethylethoxy)-",,
Yellow [Triangle],29911-28-2,Dipropylene glycol monobutyl ether,"2-Propanol, 1-(2-butoxy-1-methylethoxy)-","*Yellow due to hazard concerns, but allowed to provide functionality while meeting Safer Choice VOC criteria. See section 4.2.7.1 of the Safer Choice Standard.",
Yellow [Triangle],29911-27-1,Dipropylene glycol propyl ether,"2-Propanol, 1-(1-methyl-2-propoxyethoxy)-","*Yellow due to hazard concerns, but allowed to provide functionality while meeting Safer Choice VOC criteria. See section 4.2.7.1 of the Safer Choice Standard.",
Yellow [Triangle],5989-27-5,D-Limonene,"Cyclohexene, 1-methyl-4-(1-methylethenyl)-, (4R)-","*Known sensitizer, see above. *Yellow due to hazard concerns. Must meet 5.5.2.",
Green [Circle],64-17-5,Ethanol,Ethanol,,
Half Green [Circle],902272-78-0,Ethyl glycerin acetal levulinate,"1,3-Dioxolane-2-propanoic acid, 4-(hydroxymethyl)-2-methyl-, ethyl ester",,
Half Green [Circle],97-64-3,Ethyl lactate,"Propanoic acid, 2-hydroxy-, ethyl ester",,
Half Green [Circle],539-88-8,Ethyl levulinate,"Pentanoic acid, 4-oxo-, ethyl ester",,
Half Green [Circle],5413-49-0,Ethyl levulinate propyleneglycol ketal,"1,3-Dioxolane-2-propanoic acid, 2,4-dimethyl-, ethyl ester",,
Half Green [Circle],763-69-9,Ethyl-3-ethoxy propionate,"Propanoic acid, 3-ethoxy-, ethyl ester",,
Yellow [Triangle],68937-84-8,"Fatty acids, C12-18, methyl esters","Fatty acids, C12-18, Me esters","*Yellow due to hazard concerns, but allowed to provide functionality while meeting Safer Choice VOC criteria. See section 4.2.7.1 of the Safer Choice Standard.",
Green [Circle],67762-26-9,"Fatty acids, C14-18 and C16-18-unsatd., Me esters","Fatty acids, C14-18 and C16-18-unsatd., Me esters",,
Green [Circle],67762-38-3,"Fatty acids, C16-18 and C18-unsatd., methyl esters","Fatty acids, C16-18 and C18-unsatd., Me esters",,
Green [Circle],68919-53-9,"Fatty acids, soya, Me esters","Fatty acids, soya, Me esters",,
Green [Circle],68990-52-3,"Fatty acids, vegetable-oil, Me esters","Fatty acids, vegetable-oil, Me esters",,
Green [Circle],73398-61-5,"Glycerides, mixed decanoyl and octanoyl","Glycerides, mixed decanoyl and octanoyl",,
Green [Circle],56-81-5,Glycerol,"1,2,3-Propanetriol",,
Green [Circle],65381-09-1,Glycerol octanoate decanoate,"Decanoic acid, ester with 1,2,3-propanetriol octanoate",,
Green [Circle],102-76-1,Glycerol triacetate,"1,2,3-Propanetriol, 1,2,3-triacetate",,
Green [Circle],67-63-0,Isopropanol,2-Propanol,,
Green [Circle],54074-94-1,Isopropyl 3-hydroxybutyrate,"Butanoic acid, 3-hydroxy-, 1-methylethyl ester",,
Half Green [Circle],110-27-0,Isopropyl myristate,"Tetradecanoic acid, 1-methylethyl ester",,
Green [Circle],25601-41-6,Methyl 9-decenoate,"9-Decenoic acid, methyl ester",,
Green [Circle],111-82-0,Methyl laurate,"Dodecanoic acid, methyl ester",,
Green [Circle],124-10-7,Methyl myristate,"Tetradecanoic acid, methyl ester",,
Yellow [Triangle],112-62-9,Methyl oleate,"9-Octadecenoic acid (9Z)-, methyl ester",,
Green [Circle],14035-94-0,"Pentanedioic acid, 2-methyl-, 1,5-dimethyl ester","Pentanedioic acid, 2-methyl-, 1,5-dimethyl ester",,
Green [Circle],5343-92-0,Pentylene glycol,"1,2-Pentanediol",,
Yellow [Triangle],122-99-6,Phenoxyethanol,"Ethanol, 2-phenoxy-","*Yellow, due in part to its status as a Hazardous Air Pollutant HAP under the Clean Air Act.",
Green [Circle],9004-74-4,Polyethylene glycol monomethyl ether,"Poly(oxy-1,2-ethanediyl), alpha-methyl-omega-hydroxy-",,
