List Call,CAS,List Name,TSCA Chemical Name,Caveat - Chemical Use,Caveat - TSCA Inventory Status
Yellow [Triangle],27136-73-8,"1H-Imidazole-1-ethanol, 2-(heptadecenyl)-4,5-dihydro-","1H-Imidazole-1-ethanol, 2-(heptadecen-1-yl)-4,5-dihydro-",,
Yellow [Triangle],67-64-1,Acetone,2-Propanone,,
Yellow [Triangle],1066-33-7,Ammonium bicarbonate,"Carbonic acid, ammonium salt (1:1)",,
Yellow [Triangle],506-87-6,Ammonium carbonate,"Carbonic acid, ammonium salt (1:2)",,
Yellow [Triangle],1336-21-6,Ammonium hydroxide,Ammonium hydroxide ((NH4)(OH)),,
Grey [Square],34455-29-3,Amphoteric fluorinated surfactant,"1-Propanaminium, N-(carboxymethyl)-N,N-dimethyl-3-[[(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)sulfonyl]amino]-, inner salt",*This chemical will no longer be listed on SCIL 12 months from 3/16/2022. This chemical is not used in Safer Choice-certified products.,
Yellow [Triangle],100-51-6,Benzyl alcohol,Benzenemethanol,,
Yellow [Triangle],452080-64-7,"Boron, trifluoro(tetrahydrofuran)-, (T-4)-, polymer with 3-methyl-3-[(2,2,2-trifluoroethoxy)methyl]oxetane, ether with 2,2-dimethyl-1,3-propanediol (2:1), bis(hydrogen sulfate), diammonium salt","Boron, trifluoro(tetrahydrofuran)-, (T-4)-, polymer with 3-methyl-3-[(2,2,2-trifluoroethoxy)methyl]oxetane, ether with 2,2-dimethyl-1,3-propanediol (2:1), bis(hydrogen sulfate), diammonium salt",*This chemical does not meet OPPT’s working definition of PFAS and degrades into non-PFAS compounds. This chemical is not used in Safer Choice-certified products.,
Grey [Square],452080-67-0,"Boron, trifluoro(tetrahydrofuran)-, (T-4)-, polymer with 3-methyl-3-[(2,2,3,3,3-pentafluoropropoxy)methyl]oxetane, ether with 2,2-dimethyl-1,3-propanediol (2:1), bis(hydrogen sulfate), diammonium salt","Boron, trifluoro(tetrahydrofuran)-, (T-4)-, polymer with 3-methyl-3-[(2,2,3,3,3-pentafluoropropoxy)methyl]oxetane, ether with 2,2-dimethyl-1,3-propanediol (2:1), bis(hydrogen sulfate), diammonium salt",*This chemical will no longer be listed on SCIL 12 months from 3/16/2022 and any currently labeled products that contain it will need to be reformulated per Safer Choice Compliance Schedules.,
Yellow [Triangle],141-43-5,Ethanolamine,"Ethanol, 2-amino-",,
Yellow [Triangle],27619-97-2,Halogenated aliphatic acid,"1-Octanesulfonic acid, 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluoro-",,
Yellow [Triangle],770-35-4,Propylene glycol phenyl ether,"2-Propanol, 1-phenoxy-",,
Yellow [Triangle],78-51-3,Tri-2-Butoxyethyl phosphate,"Ethanol, 2-butoxy-, 1,1',1''-phosphate",,
Yellow [Triangle],102-71-6,Triethanolamine,"Ethanol, 2,2',2''-nitrilotris-",,
