List Call,CAS,List Name,TSCA Chemical Name,Caveat - Chemical Use,Caveat - TSCA Inventory Status
Green [Circle],2416-19-5,(Z)-7-Hexadecenoic acid,"7-Hexadecenoic acid, (7Z)-",,"*As of January 2018, this substance is not listed on the TSCA inventory."
Green [Circle],373-49-9,(Z)-9-Hexadecenoic acid,"9-Hexadecenoic acid, (9Z)-",,"*As of January 2018, this substance is not listed on the TSCA inventory."
Green [Circle],128824-30-6,"1-Dodecanesulfonic acid, hydroxy-, sodium salt","1-Dodecanesulfonic acid, hydroxy-, sodium salt (1:?)",,
Green [Circle],693-33-4,"1-Hexadecanaminium, N-(carboxymethyl)-N,N-dimethyl-, inner salt","1-Hexadecanaminium, N-(carboxymethyl)-N,N-dimethyl-, inner salt",,
Green [Circle],68630-95-5,"1H-Imidazole-1-propanoic acid, 2-heptyl-2,3-dihydro-3-(2-hydroxyethyl)-, monosodium salt","1H-Imidazole-1-propanoic acid, 2-heptyl-2,3-dihydro-3-(2-hydroxyethyl)-, sodium salt (1:1)",,
Green [Circle],147170-44-3,"1-Propanaminium, 3-amino-N-(carboxymethyl)-N,N-dimethyl-, N-(C8-18 and C18-unsatd. acyl) derivs., inner salts","1-Propanaminium, 3-amino-N-(carboxymethyl)-N,N-dimethyl-, N-(C8-18 and C18-unsatd. acyl) derivs., inner salts",,
Green [Circle],61789-39-7,"1-Propanaminium, 3-amino-N-(carboxymethyl)-N,N-dimethyl-, N-coco acyl derivs., chlorides, sodium salts","1-Propanaminium, 3-amino-N-(carboxymethyl)-N,N-dimethyl-, N-coco acyl derivs., chlorides, sodium salts",,
Green [Circle],61789-40-0,"1-Propanaminium, 3-amino-N-(carboxymethyl)-N,N-dimethyl-, N-coco acyl derivs., inner salts","1-Propanaminium, 3-amino-N-(carboxymethyl)-N,N-dimethyl-, N-coco acyl derivs., inner salts",,
Green [Circle],73772-45-9,"1-Propanaminium, N-(carboxymethyl)-N,N-dimethyl-3-[(1-oxodecyl)amino]-, inner salt","1-Propanaminium, N-(carboxymethyl)-N,N-dimethyl-3-[(1-oxodecyl)amino]-, inner salt",,
Green [Circle],73772-46-0,"1-Propanaminium, N-(carboxymethyl)-N,N-dimethyl-3-[(1-oxooctyl)amino]-, inner salt","1-Propanaminium, N-(carboxymethyl)-N,N-dimethyl-3-[(1-oxooctyl)amino]-, inner salt",,
Green [Circle],125590-73-0,2-Ethylhexyl-alpha-D-glucoside,"alpha-D-Glucopyranoside, 2-ethylhexyl",,
Green [Circle],161074-93-7,2-Ethylhexyl-poly-D-glucosides,"D-Glucopyranose, oligomeric, 2-ethylhexyl glycosides",,
Green [Circle],4348-76-9,2-O-Rhamnopyranosyl-rhamnopyranosyl-3-hydroxyldecanoyl-3-hydroxydecanoate,"Decanoic acid, 3-[[6-deoxy-2-O-(6-deoxy-.alpha.-L-mannopyranosyl)-.alpha.-L-mannopyranosyl]oxy]-, 1-(carboxymethyl)octyl ester",,
Green [Circle],506-31-0,9-Eicosenoic acid,9-Eicosenoic acid,,
Half Green [Circle],68608-64-0,"Acetic acid, 2-chloro-, reaction products with 2-heptyl-4,5-dihydro-1H-imidazole-1-ethanol and sodium hydroxide","Acetic acid, 2-chloro-, reaction products with 2-heptyl-4,5-dihydro-1H-imidazole-1-ethanol and sodium hydroxide",,
Green [Circle],68608-66-2,"Acetic acid, chloro-, sodium salt, reaction products with 4,5-dihydro-2-undecyl-1H-imidazole-1-ethanol and sodium hydroxide","Acetic acid, 2-chloro-, sodium salt (1:1), reaction products with 4,5-dihydro-2-undecyl-1H-imidazole-1-ethanol and sodium hydroxide",,
Green [Circle],68154-97-2,"Alcohols, C10-12, ethoxylated propoxylated","Alcohols, C10-12, ethoxylated propoxylated",,
Green [Circle],66455-15-0,"Alcohols, C10-14, ethoxylated","Alcohols, C10-14, ethoxylated",,
Green [Circle],68002-97-1,"Alcohols, C10-16, ethoxylated","Alcohols, C10-16, ethoxylated",,
Green [Circle],69227-22-1,"Alcohols, C10-16, ethoxylated propoxylated","Alcohols, C10-16, ethoxylated propoxylated",,
Green [Circle],78330-21-9,"Alcohols, C11-14-iso-, C13-rich, ethoxylated","Alcohols, C11-14-iso-, C13-rich, ethoxylated",,
Green [Circle],68131-40-8,"Alcohols, C11-15-secondary, ethoxylated","Alcohols, C11-15-secondary, ethoxylated",,
Green [Circle],66455-14-9,"Alcohols, C12-13, ethoxylated","Alcohols, C12-13, ethoxylated",,
Green [Circle],68439-50-9,"Alcohols, C12-14, ethoxylated","Alcohols, C12-14, ethoxylated",,
Green [Circle],68439-51-0,"Alcohols, C12-14, ethoxylated propoxylated","Alcohols, C12-14, ethoxylated propoxylated",,
Green [Circle],84133-50-6,"Alcohols, C12-14-secondary, ethoxylated","Alcohols, C12-14-secondary, ethoxylated",,
Green [Circle],63393-82-8,"Alcohols, C12-15","Alcohols, C12-15",,
Green [Circle],68131-39-5,"Alcohols, C12-15, ethoxylated","Alcohols, C12-15, ethoxylated",,
Green [Circle],68551-13-3,"Alcohols, C12-15, ethoxylated propoxylated","Alcohols, C12-15, ethoxylated propoxylated",,
Green [Circle],120313-48-6,"Alcohols, C12-15-branched and linear, ethoxylated propoxylated","Alcohols, C12-15-branched and linear, ethoxylated propoxylated",,
Green [Circle],68551-12-2,"Alcohols, C12-16, ethoxylated","Alcohols, C12-16, ethoxylated",,
Green [Circle],68213-24-1,"Alcohols, C12-16, ethoxylated propoxylated","Alcohols, C12-16, ethoxylated propoxylated",,
Green [Circle],67762-25-8,"Alcohols, C12-18","Alcohols, C12-18",,
Green [Circle],146340-16-1,"Alcohols, C12-18, ethers with polyethylene glycol mono-Bu ether","Alcohols, C12-18, ethers with polyethylene glycol mono-Bu ether",,
Green [Circle],68213-23-0,"Alcohols, C12-18, ethoxylated","Alcohols, C12-18, ethoxylated",,
Green [Circle],68951-67-7,"Alcohols, C14-15, ethoxylated","Alcohols, C14-15, ethoxylated",,
Green [Circle],68439-49-6,"Alcohols, C16-18, ethoxylated","Alcohols, C16-18, ethoxylated",,
Green [Circle],70879-83-3,"Alcohols, C6-10, ethoxylated","Alcohols, C6-10, ethoxylated",,
Green [Circle],68987-81-5,"Alcohols, C6-10, ethoxylated propoxylated","Alcohols, C6-10, ethoxylated propoxylated",,
Green [Circle],68439-45-2,"Alcohols, C6-12, ethoxylated","Alcohols, C6-12, ethoxylated",,
Green [Circle],68937-66-6,"Alcohols, C6-12, ethoxylated and propoxylated","Alcohols, C6-12, ethoxylated propoxylated",,
Green [Circle],71060-57-6,"Alcohols, C8-10, ethoxylated","Alcohols, C8-10, ethoxylated",,
Green [Circle],68603-25-8,"Alcohols, C8-10, ethoxylated propoxylated","Alcohols, C8-10, ethoxylated propoxylated",,
Half Green [Circle],71243-46-4,"Alcohols, C8-16, ethoxylated","Alcohols, C8-16, ethoxylated",,
Green [Circle],69013-18-9,"Alcohols, C8-18, ethoxylated propoxylated","Alcohols, C8-18, ethoxylated propoxylated",,
Half Green [Circle],366009-01-0,"Alcohols, C9-11, ethers with polyethylene glycol mono-Me ether","Alcohols, C9-11, ethers with polyethylene glycol mono-Me ether",,
Green [Circle],68439-46-3,"Alcohols, C9-11, ethoxylated","Alcohols, C9-11, ethoxylated",,
Green [Circle],73296-89-6,Alkyl(C12-C16)alcohol sulfate sodium salt,"Sulfuric acid, mono-C12-16-alkyl esters, sodium salts",,
Green [Circle],70851-07-9,"Amides, coco, N-[3-(dimethylamino)propyl], alkylation products with chloroacetic acid, sodium salts","Amides, coco, N-[3-(dimethylamino)propyl], alkylation products with chloroacetic acid, sodium salts",,
Green [Circle],70592-80-2,"Amines, C10-16-alkyldimethyl, N-oxides","Amines, C10-16-alkyldimethyl, N-oxides",,
Green [Circle],68955-55-5,"Amines, C12-18-alkyldimethyl, N-oxides","Amines, C12-18-alkyldimethyl, N-oxides",,
Green [Circle],61791-47-7,"Amines, coco alkyl dihydroxyethyl, oxides","Ethanol, 2,2'-iminobis-, N-coco alkyl derivs., N-oxides",,
Green [Circle],37475-88-0,Ammonium cumene sulfonate,"Benzenesulfonic acid, (1-methylethyl)-, ammonium salt (1:1)",,
Green [Circle],2235-54-3,Ammonium lauryl sulfate,"Sulfuric acid, monododecyl ester, ammonium salt (1:1)",,
Green [Circle],26447-10-9,Ammonium xylenesulfonate,"Benzenesulfonic acid, dimethyl-, ammonium salt (1:1)",,
Green [Circle],506-30-9,Arachidic acid,Arachidic acid,,
Green [Circle],112-85-6,Behenic acid,Behenic acid,,
Green [Circle],32073-22-6,"Benzene, (1-methylethyl)-, monosulfo deriv., sodium salt (1:1)","Benzene, (1-methylethyl)-, monosulfo deriv., sodium salt (1:1)",,
Green [Circle],85536-14-7,"Benzenesulfonic acid, 4-C10-13-sec-alkyl derivs.","Benzenesulfonic acid, 4-C10-13-sec-alkyl derivs.",,
Green [Circle],127184-52-5,"Benzenesulfonic acid, 4-C10-13-sec-alkyl derivs., sodium salts","Benzenesulfonic acid, 4-C10-13-sec-alkyl derivs., sodium salts",,
Green [Circle],69669-44-9,"Benzenesulfonic acid, C10-14-alkyl derivs., sodium salts","Benzenesulfonic acid, C10-14-alkyl derivs., sodium salts",,
Green [Circle],68584-22-5,"Benzenesulfonic acid, C10-16-alkyl derivs.","Benzenesulfonic acid, C10-16-alkyl derivs.",,
Green [Circle],68584-26-9,"Benzenesulfonic acid, C10-16-alkyl derivs., magnesium salts","Benzenesulfonic acid, C10-16-alkyl derivs., magnesium salts",,
Green [Circle],68081-81-2,"Benzenesulfonic acid, mono-C10-16-alkyl derivs., sodium salts","Benzenesulfonic acid, mono-C10-16-alkyl derivs., sodium salts",,
Half Green [Circle],90170-43-7,"beta-Alanine, N-(2-carboxyethyl)-, N-coco alkyl derivs., disodium salts",,,"*As of September 2018, this substance is not listed on the TSCA inventory."
Green [Circle],94441-92-6,"beta-Alanine, N-(2-carboxyethyl)-N-(2-ethylhexyl)-, sodium salt (1:1)","beta-Alanine, N-(2-carboxyethyl)-N-(2-ethylhexyl)-, sodium salt (1:1)",,
Half Green [Circle],64972-19-6,"beta-Alanine, N-(2-carboxyethyl)-N-(3-(decyloxy)propyl)-, sodium salt (1:1",".beta.-Alanine, N-(2-carboxyethyl)-N-[3-(decyloxy)propyl]-, sodium salt (1:1)",,
Half Green [Circle],64972-18-5,"beta-Alanine, N-(2-carboxyethyl)-N-[3-(octyloxy)propyl]-, sodium salt (1:1)","beta-Alanine, N-(2-carboxyethyl)-N-[3-(octyloxy)propyl]-, sodium salt (1:1)",,
Green [Circle],72869-77-3,"Betaines, C10-16-alkyl(2-hydroxy-3-sulfopropyl)dimethyl","Betaines, C10-16-alkyl(2-hydroxy-3-sulfopropyl)dimethyl",,
Green [Circle],68424-94-2,"Betaines, coco alkyldimethyl","Betaines, coco alkyldimethyl",,
Green [Circle],68815-56-5,"Butanedioic acid, sulfo-, mono(C10-C16)alkyl ethoxylated ester, disodium salt","Poly(oxy-1,2-ethanediyl), alpha-(3-carboxy-1-oxosulfopropyl)-omega-hydroxy-, C10-16-alkyl ethers, disodium salts",,
Green [Circle],31387-97-0,Butyl D-glucoside,"D-Glucopyranoside, butyl",,"*As of June 2016, this substance is not listed on the TSCA inventory."
Green [Circle],510758-10-8,Butyl poly-D-glucosides,"D-Glucopyranose, oligomeric, Bu glycosides",,
Green [Circle],90194-45-9,"C10-13 Alkyl benzenesulfonic acid, sodium salts","Benzenesulfonic acid, mono-C10-13-alkyl derivs., sodium salts",,
Green [Circle],110615-47-9,C10-16 Alkyl-poly-D-glucosides,"D-Glucopyranose, oligomeric, C10-16-alkyl glycosides",,
Green [Circle],157707-88-5,C12-14 Alkyl-poly-D-glucosides,"D-Glucopyranose, oligomeric, C12-14-alkyl glycosides",,"*As of June 2016, this substance is not listed on the TSCA inventory."
