CAS,List Name,TSCA  Chemical Name,List Call,Caveat - Chemical Use,Edit Description,Date of Edit
452080-64-7,"Boron, trifluoro(tetrahydrofuran)-, (T-4)-, polymer with 3-methyl-3-[(2,2,2-trifluoroethoxy)methyl]oxetane, ether with 2,2-dimethyl-1,3-propanediol (2:1), bis(hydrogen sulfate), diammonium salt","Boron, trifluoro(tetrahydrofuran)-, (T-4)-, polymer with 3-methyl-3-[(2,2,2-trifluoroethoxy)methyl]oxetane, ether with 2,2-dimethyl-1,3-propanediol (2:1), bis(hydrogen sulfate), diammonium salt",Yellow [Triangle],*This chemical does not meet OPPT’s working definition of PFAS and degrades into non-PFAS compounds. This chemical is not used in Safer Choice-certified products.,Added chemical use caveat,44636.0
34455-29-3,Amphoteric fluorinated surfactant,"1-Propanaminium, N-(carboxymethyl)-N,N-dimethyl-3-[[(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)sulfonyl]amino]-, inner salt",Grey [Square],*This chemical will no longer be listed on SCIL 12 months from 3/16/2022. This chemical is not used in Safer Choice-certified products.,Geometric color code changed from Yellow [Triangle] to Grey [Square]. Added chemical use caveat.,44636.0
452080-67-0,"Boron, trifluoro(tetrahydrofuran)-, (T-4)-, polymer with 3-methyl-3-[(2,2,3,3,3-pentafluoropropoxy)methyl]oxetane, ether with 2,2-dimethyl-1,3-propanediol (2:1), bis(hydrogen sulfate), diammonium salt","Boron, trifluoro(tetrahydrofuran)-, (T-4)-, polymer with 3-methyl-3-[(2,2,3,3,3-pentafluoropropoxy)methyl]oxetane, ether with 2,2-dimethyl-1,3-propanediol (2:1), bis(hydrogen sulfate), diammonium salt",Grey [Square],*This chemical will no longer be listed on SCIL 12 months from 3/16/2022 and any currently labeled products that contain it will need to be reformulated per Safer Choice Compliance Schedules.,Geometric color code changed from Yellow [Triangle] to Grey [Square]. Added chemical use caveat.,44636.0
90066-14-1,"2-Propenoic acid, telomer with ethyl 2-propenoate and sodium sulfite (1:1), sodium salt","2-Propenoic acid, telomer with ethyl 2-propenoate and sodium sulfite (1:1), sodium salt",Green [Circle],,Chemical added to the list,44418.0
8061-52-7,Calcium lignosulfonate,"Lignosulfonic acid, calcium salt",Green [Circle],,Chemical added to the list,44418.0
9005-27-0,"Starch, 2-hydroxyethyl ether","Starch, 2-hydroxyethyl ether",Green [Circle],,Chemical added to the list,44418.0
1052620-22-0,"Butanedioic acid, 2-methylene-, polymer with 2-methyl-2-[(1-oxo-2-propen-1-yl)amino]-1-propanesulfonic acid, sodium salt","Butanedioic acid, 2-methylene-, polymer with 2-methyl-2-[(1-oxo-2-propen-1-yl)amino]-1-propanesulfonic acid, sodium salt",Green [Circle],,Chemical added to the list,44418.0
54-28-4,D-gamma-Tocopherol,"2H-1-Benzopyran-6-ol, 3,4-dihydro-2,7,8-trimethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-, (2R)-",Green [Circle],,Chemical added to the list,44418.0
16698-35-4,beta-Tocopherol,"2H-1-Benzopyran-6-ol, 3,4-dihydro-2,5,8-trimethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-, (2R)-",Green [Circle],,Chemical added to the list,44418.0
119-13-1,delta-Tocopherol,"2H-1-Benzopyran-6-ol, 3,4-dihydro-2,8-dimethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-, (2R)-",Green [Circle],,Chemical added to the list,44418.0
9005-38-3,Sodium alginate,"Alginic acid, sodium salt",Green [Circle],,Chemical added to the list,44418.0
68476-78-8,Molasses,Molasses,Green [Circle],,Chemical added to the list,44418.0
65996-62-5,"Starch, oxidized","Starch, oxidized",Half Green [Circle],,Chemical added to the list,44418.0
8013-01-2,Yeast extract,"Yeast, ext.",Half Green [Circle],,Chemical added to the list,44418.0
12173-10-3,Clinoptilolite,,Green [Circle],,Chemical added to the list,44418.0
104-68-7,Diethylene glycol monophenyl ether,"Ethanol, 2-(2-phenoxyethoxy)-",Green [Circle],,Chemical added to the list,44418.0
539-88-8,Ethyl levulinate,"Pentanoic acid, 4-oxo-, ethyl ester",Half Green [Circle],,Chemical added to the list,44418.0
2052-15-5,Butyl levulinate,"Pentanoic acid, 4-oxo-, butyl ester",Half Green [Circle],,Chemical added to the list,44418.0
105-99-7,Di-n-butyl adipate,"Hexanedioic acid, 1,6-dibutyl ester",Green [Circle],,Chemical added to the list,44418.0
6938-94-9,Diisopropyl adipate,"Hexanedioic acid, 1,6-bis(1-methylethyl) ester",Half Green [Circle],,Chemical added to the list,44418.0
124-10-7,Methyl myristate,"Tetradecanoic acid, methyl ester",Green [Circle],,Chemical added to the list,44418.0
902272-78-0,Ethyl glycerin acetal levulinate,"1,3-Dioxolane-2-propanoic acid, 4-(hydroxymethyl)-2-methyl-, ethyl ester",Half Green [Circle],,Chemical added to the list,44418.0
5413-49-0,Ethyl levulinate propyleneglycol ketal,"1,3-Dioxolane-2-propanoic acid, 2,4-dimethyl-, ethyl ester",Half Green [Circle],,Chemical added to the list,44418.0
61788-59-8,Coco fatty acids methyl esters,"Fatty acids, coco, Me esters",Green [Circle],,Chemical added to the list,44418.0
67762-26-9,"Fatty acids, C14-18 and C16-18-unsatd., Me esters","Fatty acids, C14-18 and C16-18-unsatd., Me esters",Green [Circle],,Chemical added to the list,44418.0
68990-52-3,"Fatty acids, vegetable-oil, Me esters","Fatty acids, vegetable-oil, Me esters",Green [Circle],,Chemical added to the list,44418.0
682-09-7,Trimethylopropane diallyl ether,"1-Butanol, 2,2-bis[(2-propen-1-yloxy)methyl]-",Green [Circle],,Chemical added to the list,44418.0
137-20-2,Sodium N-methyl-N-oleoyltaurate,"Ethanesulfonic acid, 2-[methyl[(9Z)-1-oxo-9-octadecen-1-yl]amino]-, sodium salt (1:1)",Green [Circle],,Chemical added to the list,44418.0
301341-58-2,Potassium cocoyl glycinate,,Green [Circle],,Chemical added to the list,44418.0
90170-45-9,"L-Alanine, N-coco acyl derivs., sodium salts",,Half Green [Circle],,Chemical added to the list,44418.0
38841-48-4,Disodium 2-sulfolaurate,"Dodecanoic acid, 2-sulfo-, sodium salt (1:2)",Half Green [Circle],,Chemical added to the list,44418.0
