List Call,CAS,List Name,TSCA Chemical Name,Caveat - Chemical Use,Caveat - TSCA Inventory Status
Green [Circle],85507-69-3,Aloe barbadensis extract,"Aloe vera, ext.",,*Naturally Occurring Chemical Substances must meet the definition in 40 CFR 710.4(b) (http://www.gpo.gov/fdsys/pkg/CFR-2011-title40-vol31/pdf/CFR-2011-title40-vol31-sec710-4.pdf)
Green [Circle],94349-62-9,"Aloe barbadensis mill., extract","Aloe barbadensis, ext.",,*Naturally Occurring Chemical Substances must meet the definition in 40 CFR 710.4(b) (http://www.gpo.gov/fdsys/pkg/CFR-2011-title40-vol31/pdf/CFR-2011-title40-vol31-sec710-4.pdf)
Green [Circle],8001-97-6,"Aloe, pharmaceutical","Pharmaceutical natural products, aloe",,*Naturally Occurring Chemical Substances must meet the definition in 40 CFR 710.4(b) (http://www.gpo.gov/fdsys/pkg/CFR-2011-title40-vol31/pdf/CFR-2011-title40-vol31-sec710-4.pdf)
Green [Circle],134134-86-4,Avena sativa kernel flour,"Oat, flour",,*Naturally Occurring Chemical Substances must meet the definition in 40 CFR 710.4(b)
Green [Circle],8012-89-3,Beeswax,Beeswax,,
Green [Circle],8015-86-9,Carnauba wax,Carnauba wax,,
Green [Circle],68442-85-3,"Cellulose, regenerated","Cellulose, regenerated",,
Green [Circle],7585-39-9,Cyclodextrin,.beta.-Cyclodextrin,,
Yellow [Triangle],3734-33-6,Denatonium benzoate,"Benzenemethanaminium, N-[2-[(2,6-dimethylphenyl)amino]-2-oxoethyl]-N,N-diethyl-, benzoate (1:1)",*Only allowed as a bittering agent.,
Green [Circle],624-03-3,Ethylene glycol dipalmitate,"Hexadecanoic acid, 1,1'-(1,2-ethanediyl) ester",,"*As of March 2016, this substance is not listed on the TSCA inventory."
Green [Circle],68410-45-7,"Gelatins, hydrolyzates","Gelatins, hydrolyzates",,
Green [Circle],9034-32-6,Hemicellulose,Hemicellulose,,
Half Green [Circle],111-14-8,Heptanoic acid,Heptanoic acid,,
Green [Circle],128446-33-3,Hydroxypropyl-a-cyclodextrin,".alpha.-Cyclodextrin, 2-hydroxypropyl ethers",,
Green [Circle],9005-53-2,Lignin,Lignin,,
Green [Circle],7727-37-9,Nitrogen,Nitrogen,,
Half Green [Circle],112-05-0,Nonanoic acid,Nonanoic acid,,
Green [Circle],64742-43-4,"Paraffin waxes, petroleum, clay-treated","Paraffin waxes (petroleum), clay-treated",,
Green [Circle],64742-51-4,"Paraffin waxes, petroleum, hydrotreated","Paraffin waxes (petroleum), hydrotreated",,
Green [Circle],65996-61-4,"Pulp, cellulose",Rags,,
Green [Circle],77098-13-6,"Soy protein isolate, sodium salt","Proteins, soy, sodium salts",,
Green [Circle],57-13-6,Urea,Urea,,
Green [Circle],506-89-8,"Urea, monohydrochloride","Urea, hydrochloride (1:1)",,
Yellow [Triangle],13040-19-2,Zinc ricinoleate,"9-Octadecenoic acid, 12-hydroxy-, zinc salt (2:1), (9Z,12R)-",,
